"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Joy Morrissey","@joymorrissey","Conservative","Beaconsfield",18583,9
"Judith Cummins ","@JudithCummins","Labour","Bradford South",15377,-1
"Julia Lopez","@JuliaLopezMP","Conservative","Hornchurch and Upminster",7937,1
"Julian Knight ","@julianknight15","Conservative","Solihull",13167,-3
"Julian Lewis",,"Independent","New Forest East",,
"Julian Smith ","@JulianSmithUK","Conservative","Skipton and Ripon",37446,5
"Julian Sturdy","@JulianSturdy","Conservative","York Outer",2404,1
"Julie Elliott ","@JulieElliottMP","Labour","Sunderland Central",22049,1
"Julie Marson","@JulieMarsonMP","Conservative","Hertford and Stortford",4749,3
"Justin Madders ","@justinmadders","Labour","Ellesmere Port and Neston",29870,0
"Justin Tomlinson ","@JustinTomlinson","Conservative","North Swindon",21162,2
"Karen Bradley",,"Conservative","Staffordshire Moorlands",,
"Karen Buck ","@KarenPBuckMP","Labour","Westminster North",18477,7
"Karin Smyth ","@karinsmyth","Labour","Bristol South",13809,1
"Karl McCartney ","@karlmccartney","Conservative","Lincoln",11531,-1
"Karl Turner ","@KarlTurnerMP","Labour","Kingston upon Hull East",40296,42
"Kate Green ","@KateGreenSU","Labour","Stretford and Urmston",51020,1
"Kate Griffiths",,"Conservative","Burton",,
"Kate Hollern ","@Kate_HollernMP","Labour","Blackburn",10112,4
"Kate Osamor ","@KateOsamor","Labour","Edmonton",35729,-1
"Kate Osborne","@KateOsborneMP","Labour","Jarrow",15250,15
"Katherine Fletcher","@K_Fletcher_MP","Conservative","South Ribble",4612,6
"Keir Starmer ","@Keir_Starmer","Labour","Holborn and St Pancras",1202404,316
"Kelly Tolhurst ","@KellyTolhurst","Conservative","Rochester and Strood",15433,1
"Kemi Badenoch","@KemiBadenoch","Conservative","Saffron Walden",48448,44
"Kenny MacAskill","@KennyMacAskill","Scottish National Party","East Lothian",19943,4
"Kerry McCarthy ","@KerryMP","Labour","Bristol East",32864,-2
"Kevan Jones ","@KevanJonesMP","Labour","North Durham",23420,-2
"Kevin Brennan ","@KevinBrennanMP","Labour","Cardiff West",26352,-3
"Kevin Foster ","@kevin_j_foster","Conservative","Torbay",8547,5
"Kevin Hollinrake ","@kevinhollinrake","Conservative","Thirsk and Malton",12331,0
"Khalid Mahmood","@khalid4PB","Labour","Birmingham, Perry Barr",7042,-2
"Kieran John Mullan","@KieranMullanUK","Conservative","Crewe and Nantwich",4640,0
"Kim Johnson","@KimJohnsonMP","Labour","Liverpool, Riverside",17025,1
"Kirsten Oswald ","@kirstenoswald","Scottish National Party","East Renfrewshire",16245,-4
"Kirsty Blackman ","@KirstySNP","Scottish National Party","Aberdeen North",27096,-2
"Kit Malthouse ","@kitmalthouse","Conservative","North West Hampshire",18118,4
"Kwasi Kwarteng ","@KwasiKwarteng","Conservative","Spelthorne",31843,38
"Laura Farris","@Laura__Farris","Conservative","Newbury",7600,4
"Laura Trott",,"Conservative","Sevenoaks",,
"Laurence Robertson","@lrobertsonTewks","Conservative","Tewkesbury",4722,4
"Layla Moran","@LaylaMoran","Liberal Democrat","Oxford West and Abingdon",76316,6
"Lee Anderson",,"Conservative","Ashfield",,
"Lee Benjamin Rowley","@Lee4NED","Conservative","North East Derbyshire",10420,0
"Leo Docherty","@LeoDochertyUK","Conservative","Aldershot",8031,5
"Lia Nici","@lia_nici","Conservative","Great Grimsby",4229,1
"Liam Byrne ","@liambyrnemp","Labour","Birmingham, Hodge Hill",38375,-2
"Lilian Greenwood ","@LilianGreenwood","Labour","Nottingham South",30224,3
"Lindsay Hoyle","@LindsayHoyle_MP","Speaker","Chorley",41434,9
"Lisa Cameron","@DrLisaCameronMP","Scottish National Party","East Kilbride, Strathaven and Lesmahagow",14432,0
"Lisa Nandy ","@lisanandy","Labour","Wigan",249985,60
"Liz Kendall ","@leicesterliz","Labour","Leicester West",96748,3
"Liz Saville Roberts ","@LSRPlaid","Plaid Cymru","Dwyfor Meirionnydd",20268,5
"Liz Twist","@LizTwistMP","Labour","Blaydon",4574,2
"Lloyd Russell-Moyle","@lloyd_rm","Labour","Brighton, Kemptown",31900,0
"Louise Haigh ","@LouHaigh","Labour","Sheffield, Heeley",52588,57
"Lucy Allan ","@lucyallan","Conservative","Telford",30577,5
"Lucy Frazer ","@lucyfrazermp","Conservative","South East Cambridgeshire",9974,4
"Lucy Powell ","@LucyMPowell","Labour","Manchester Central",62217,0
"Luke Evans","@drlukeevans","Conservative","Bosworth",9494,4
"Luke Hall ","@LukeHall","Conservative","Thornbury and Yate",5481,1
"Luke Pollard","@LukePollard","Labour","Plymouth, Sutton and Devonport",40863,16
"Lyn Brown ","@lynbrownmp","Labour","West Ham",14315,4
"Maggie Throup ","@maggie_erewash","Conservative","Erewash",3537,2
"Marco Longhi","@marcolonghi4dn","Conservative","Dudley North",4413,1
"Marcus Fysh ","@MarcusFysh","Conservative","Yeovil",26114,-8
"Marcus Jones ","@Marcus4Nuneaton","Conservative","Nuneaton",10008,0
"Margaret Beckett",,"Labour","Derby South",,
"Margaret Ferrier ","@MargaretFerrier","Independent","Rutherglen and Hamilton West",16083,-2
"Margaret Greenwood ","@MGreenwoodWW","Labour","Wirral West",22291,2
"Margaret Hodge ","@margarethodge","Labour","Barking",52597,3
"Maria Caulfield ","@mariacaulfield","Conservative","Lewes",23009,3
"Maria Eagle ","@meaglemp","Labour","Garston and Halewood",48085,-5
"Maria Miller ","@MariaMillerUK","Conservative","Basingstoke",21418,6
"Marie Rimmer ","@MarieRimmer","Labour","St Helens South and Whiston",13510,-5
"Marion Fellows ","@marionfellows","Scottish National Party","Motherwell and Wishaw",12146,2
